ecdg_code,ecdg_subgroup,icd10
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K22.4
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K22.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K31.9
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K40.90
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K41.9
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K42.9
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K43.9
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K44.9
"E0690 Digestive system disorders, other",E0691 Hernia subcategory,K46.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K51.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K52.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K55.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K57.90
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K57.92
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K60.2
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K61.0
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K62.3
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K62.5
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K62.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K63.1
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K63.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K64.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K91.4
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K91.49
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K91.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",K92.9
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",Q40.0
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",R11
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",R13
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",R19.0
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",R19.8
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",R19.89
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",T18.1
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",T18.2
"E0690 Digestive system disorders, other","E0699 Digestive system disorders, other subcategory",T18.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B15.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B16.1
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B16.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B17.1
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B17.2
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",B19.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",I85.0
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",K70.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",K72.0
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",K72.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",K75.9
E0710 Liver disorders,"E0719 Liver disorders, other subcategory",K76.9
E0710 Liver disorders,E0711 Jaundice subcategory,P59.9
E0710 Liver disorders,E0711 Jaundice subcategory,R17
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K80.10
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K80.20
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K80.50
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K80.80
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K81.0
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K81.9
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K82.9
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K83.0
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K83.9
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K85.9
"E0720 Gall bladder, bile duct and pancreas disorders","E0721 Gall bladder, bile duct and pancreas disorders subcategory",K86.1
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",I00
E0890 Musculoskeletal and musculotendinous disorders,E0893 Septic arthritis subcategory,M00.99
E0890 Musculoskeletal and musculotendinous disorders,E0893 Septic arthritis subcategory,M06.99
E0890 Musculoskeletal and musculotendinous disorders,E0894 Bone diseases and arthropathies subcategory,M10.99
E0890 Musculoskeletal and musculotendinous disorders,E0894 Bone diseases and arthropathies subcategory,M13.99
E0890 Musculoskeletal and musculotendinous disorders,E0894 Bone diseases and arthropathies subcategory,M19.99
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M20.0
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M22.0
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M23.99
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M24.85
E0890 Musculoskeletal and musculotendinous disorders,E0894 Bone diseases and arthropathies subcategory,M25.09
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.49
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.51
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.52
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.53
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.54
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.55
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.56
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.57
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.59
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M25.99
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M35.9
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",M43.6
E0890 Musculoskeletal and musculotendinous disorders,E0891 Spinal disorders subcategory,M48.99
E0890 Musculoskeletal and musculotendinous disorders,E0891 Spinal disorders subcategory,M51.9
E0890 Musculoskeletal and musculotendinous disorders,E0891 Spinal disorders subcategory,M53.3
E0890 Musculoskeletal and musculotendinous disorders,E0891 Spinal disorders subcategory,M53.99
E0890 Musculoskeletal and musculotendinous disorders,E0891 Spinal disorders subcategory,M54.19
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M54.2
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M54.3
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M54.5
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M54.6
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M54.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M62.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M65.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M66.59
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M67.49
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M70.2
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M70.4
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M71.2
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M71.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M75.0
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M75.1
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M75.9
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M76.6
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M77.9
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M79.19
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M79.29
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M79.69
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M79.99
E0890 Musculoskeletal and musculotendinous disorders,E0892 Osteomyelitis subcategory,M86.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M89.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M94.0
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M94.99
E0890 Musculoskeletal and musculotendinous disorders,E0895 Musculotendinous disorders subcategory,M95.9
E0890 Musculoskeletal and musculotendinous disorders,"E0899 Musculoskeletal disorders, other subcategory",R25.2
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,A46
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,A63.00
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B00.0
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B00.9
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B02.9
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B07
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B08.1
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,B35.3
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,H60.1
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L01.0
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.0
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.1
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.2
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.3
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.40
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L02.9
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.01
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.02
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.12
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.13
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.2
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.3
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L03.9
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L05.0
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L05.9
E0910 Skin and subcutaneous tissue infections,E0911 Skin and subcutaneous tissue infections subcategory,L08.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",B35.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",B37.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",B86
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L20.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L21.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L22
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L23.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L27.0
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L29.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L30.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L40.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L44.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L50.0
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L50.1
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L50.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L51.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L53.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L60.0
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L60.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L72.1
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L73.9
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L74.0
"E0990 Skin disorders, other",E0992 Skin ulcers subcategory,L89.90
"E0990 Skin disorders, other",E0992 Skin ulcers subcategory,L97.9
"E0990 Skin disorders, other",E0992 Skin ulcers subcategory,L98.4
"E0990 Skin disorders, other","E0993 Skin, subcutaneous and breast tissue disorders, other subcategory",L98.9
"E0990 Skin disorders, other",E0991 Breast tissue disorders subcategory,N61
"E0990 Skin disorders, other",E0991 Breast tissue disorders subcategory,N63
"E0990 Skin disorders, other",E0991 Breast tissue disorders subcategory,N64.4
"E0990 Skin disorders, other",E0991 Breast tissue disorders subcategory,N64.9
"E0990 Skin disorders, other",E0991 Breast tissue disorders subcategory,O91.20
"E0990 Skin disorders, other",E0994 Skin and subcutaneous signs and symptoms subcategory,R21
"E0990 Skin disorders, other",E0994 Skin and subcutaneous signs and symptoms subcategory,R22.9
"E0990 Skin disorders, other",E0994 Skin and subcutaneous signs and symptoms subcategory,R23.8
E1010 Diabetes,E1011 Diabetes subcategory,E10.11
E1010 Diabetes,E1011 Diabetes subcategory,E10.65
E1010 Diabetes,E1011 Diabetes subcategory,E10.8
E1010 Diabetes,E1011 Diabetes subcategory,E10.9
E1010 Diabetes,E1011 Diabetes subcategory,E11.11
E1010 Diabetes,E1011 Diabetes subcategory,E11.65
E1010 Diabetes,E1011 Diabetes subcategory,E11.8
E1010 Diabetes,E1011 Diabetes subcategory,E11.9
E1010 Diabetes,E1011 Diabetes subcategory,E14.11
E1010 Diabetes,E1011 Diabetes subcategory,E14.65
E1010 Diabetes,E1011 Diabetes subcategory,E14.8
E1010 Diabetes,E1011 Diabetes subcategory,E14.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E03.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E05.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E07.9
"E1090 Metabolic and nutritional disorders, other",E1091 Hypoglycaemia subcategory,E16.2
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E27.2
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E27.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E29.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E34.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E46
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E63.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E83.5
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E83.9
"E1090 Metabolic and nutritional disorders, other",E1093 Dehydration subcategory,E86
"E1090 Metabolic and nutritional disorders, other",E1092 Hyperosmolality subcategory,E87.0
"E1090 Metabolic and nutritional disorders, other",E1092 Hyperosmolality subcategory,E87.1
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E87.5
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E87.6
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E87.8
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",E88.9
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",R62.8
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",R63.0
"E1090 Metabolic and nutritional disorders, other","E1099 Metabolic and nutritional disorders, other subcategory",R63.4
E1110 Kidney failure,E1111 Kidney failure subcategory,D59.3
E1110 Kidney failure,E1111 Kidney failure subcategory,E87.7
E1110 Kidney failure,E1111 Kidney failure subcategory,N17.9
E1110 Kidney failure,E1111 Kidney failure subcategory,N18.9
E1110 Kidney failure,E1111 Kidney failure subcategory,N19
E1120 Urinary stones and obstruction,E1121 Urinary stones and obstruction subcategory,N13.3
E1120 Urinary stones and obstruction,E1121 Urinary stones and obstruction subcategory,N20.0
E1120 Urinary stones and obstruction,E1121 Urinary stones and obstruction subcategory,N20.1
E1120 Urinary stones and obstruction,E1121 Urinary stones and obstruction subcategory,N20.9
E1120 Urinary stones and obstruction,E1121 Urinary stones and obstruction subcategory,N23
E1130 Kidney and urinary tract infections,E1131 Kidney and urinary tract infections subcategory,N30.9
E1130 Kidney and urinary tract infections,E1131 Kidney and urinary tract infections subcategory,N34.2
E1130 Kidney and urinary tract infections,E1131 Kidney and urinary tract infections subcategory,N39.0
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N04.9
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N05.9
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N12
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N13.9
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N28.9
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N39.9
"E1190 Kidney and urinary tract disorders, other","E1193 Kidney and urinary tract disorders, other subcategory",N99.9
"E1190 Kidney and urinary tract disorders, other",E1194 Kidney and urinary tract signs and symptoms subcategory,R30.0
"E1190 Kidney and urinary tract disorders, other",E1194 Kidney and urinary tract signs and symptoms subcategory,R31
"E1190 Kidney and urinary tract disorders, other",E1194 Kidney and urinary tract signs and symptoms subcategory,R33
"E1190 Kidney and urinary tract disorders, other",E1194 Kidney and urinary tract signs and symptoms subcategory,R39.8
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N40
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N41.9
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N43.3
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N44
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N45.9
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N47
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N48.1
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N48.9
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,N50.9
E1290 Male genitourinary disorders,E1291 Male genitourinary disorders subcategory,T19.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,B37.3
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,E28.2
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,E28.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N71.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N73.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N75.0
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N75.1
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N76.0
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N76.8
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N80.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N81.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N83.2
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N89.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N92.0
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N92.6
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N93.0
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N93.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N94.0
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N94.6
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N94.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,N95.9
E1390 Gynaecological disorders,E1391 Gynaecological disorders subcategory,T19.2
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O02.1
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O03.4
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O03.9
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O08.9
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O72.1
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O72.2
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O86.0
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O90.0
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O90.1
E1410 Postpartum and post abortion conditions,E1411 Postpartum and post abortion conditions subcategory,O90.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O00.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O14.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O16
E1420 Antenatal and other obstetric conditions,"E1421 Abortion, threatened subcategory",O20.0
E1420 Antenatal and other obstetric conditions,E1422 Vomiting during pregnancy subcategory,O21.0
E1420 Antenatal and other obstetric conditions,E1422 Vomiting during pregnancy subcategory,O21.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O26.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O36.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O42.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O46.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O47.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O60.0
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O60.1
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O75.9
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O80
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O86.4
E1420 Antenatal and other obstetric conditions,"E1429 Antenatal and obstetric conditions, other subcategory",O99.8
E1590 Perinatal disorder,E1591 Perinatal disorder subcategory,P92.9
E1590 Perinatal disorder,E1591 Perinatal disorder subcategory,P96.9
E1610 Immune system disorders,E1611 Immune system disorders subcategory,D70
E1610 Immune system disorders,E1611 Immune system disorders subcategory,D75.9
E1610 Immune system disorders,E1611 Immune system disorders subcategory,D89.9
E1610 Immune system disorders,E1611 Immune system disorders subcategory,I89.9
E1610 Immune system disorders,E1611 Immune system disorders subcategory,L04.9
E1610 Immune system disorders,E1611 Immune system disorders subcategory,R59.9
E1620 Red blood cell disorders,E1621 Red blood cell disorders subcategory,D50.9
E1620 Red blood cell disorders,E1621 Red blood cell disorders subcategory,D57.8
E1620 Red blood cell disorders,E1621 Red blood cell disorders subcategory,D59.9
E1620 Red blood cell disorders,E1621 Red blood cell disorders subcategory,D61.9
E1620 Red blood cell disorders,E1621 Red blood cell disorders subcategory,D64.9
E1630 Haemostasis disorders,E1631 Haemostasis disorders subcategory,D66
E1630 Haemostasis disorders,E1631 Haemostasis disorders subcategory,D68.9
E1630 Haemostasis disorders,E1631 Haemostasis disorders subcategory,D69.0
E1630 Haemostasis disorders,E1631 Haemostasis disorders subcategory,D69.3
E1630 Haemostasis disorders,E1631 Haemostasis disorders subcategory,D69.6
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C18.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C25.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C26.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C34.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C39.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C43.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C44.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C50.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C57.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C61
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C63.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C71.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C78.3
